,0
edge,23
fallen,23
books,23
nodded,23
slid,23
Chosen,23
bottles,23
read,23
kitchen,23
except,23
pink,23
attention,23
Horace,23
Can,23
Arthur,23
lucky,23
golden,23
E,23
safe,23
Seamus,23
attempted,22
page,22
news,22
neither,22
snapped,22
fine,22
meet,22
Er,22
forget,22
oh,22
fixed,22
amount,22
may,22
certain,22
Be,22
bent,22
working,22
problem,22
Lucius,22
waving,22
using,22
view,22
brother,22
hall,22
show,22
headmaster,22
missed,22
passing,22
heavy,22
Mundungus,22
summer,22
near,22
week,21
handsome,21
sort,21
none,21
Maybe,21
Head,21
sent,21
luck,21
Curse,21
pressed,21
hold,21
faced,21
Let,21
orders,21
Order,21
change,21
seems,21
Rosmerta,21
filthy,21
legs,21
decided,21
neck,21
quiet,21
shouldn,21
swung,21
whatever,21
nearly,21
recognized,21
carrying,21
Percy,21
dad,21
Saturday,21
seventh,21
particularly,21
Marvolo,21
wing,21
boat,21
THE,20
dare,20
nasty,20
With,20
bright,20
beneath,20
remembered,20
twice,20
piece,20
certainly,20
previous,20
throat,20
anymore,20
position,20
busy,20
Rufus,20
pair,20
trouble,20
An,20
seized,20
hurrying,20
knocked,20
filled,20
myself,20
stairs,20
Greyback,20
favorite,20
remain,20
Perhaps,20
shot,20
bottom,20
following,20
Charms,20
tightly,20
sudden,20
waited,20
bellowed,20
yeah,20
sky,20
boxes,20
funny,20
House,20
stuff,20
stomach,20
jinx,20
definitely,20
putting,20
walk,20
Ernie,20
truth,20
Leanne,20
Cole,20
wondering,19
middle,19
sank,19
hoped,19
er,19
playing,19
Black,19
sense,19
seeing,19
run,19
On,19
Auror,19
pretty,19
witch,19
rose,19
protection,19
tall,19
strange,19
wine,19
thanks,19
noise,19
continue,19
hundred,19
weeks,19
master,19
failed,19
blue,19
story,19
purple,19
contents,19
ears,19
Won,19
different,19
Your,19
split,19
sounds,19
big,19
straight,19
O,19
Thanks,19
Three,19
cried,19
nice,19
hide,19
diary,19
Hokey,19
distant,18
apart,18
terrified,18
delighted,18
silent,18
Have,18
notice,18
fear,18
understood,18
poor,18
whisper,18
smell,18
covered,18
armchair,18
means,18
falling,18
Albus,18
power,18
led,18
determined,18
lips,18
showing,18
often,18
invited,18
Dursleys,18
difficulty,18
parents,18
curse,18
pure,18
interested,18
join,18
realize,18
careful,18
potions,18
single,18
Alley,18
Nothing,18
Transfiguration,18
Captain,18
corridors,18
group,18
Romilda,18
Smith,18
pain,18
essay,18
pause,18
practice,18
Flitwick,18
Thank,18
reading,17
somehow,17
caused,17
allowed,17
impossible,17
listen,17
mention,17
hesitated,17
living,17
thrown,17
lived,17
Before,17
Know,17
refused,17
Must,17
alive,17
Magical,17
invisible,17
maybe,17
opposite,17
persuade,17
impression,17
discuss,17
check,17
handed,17
present,17
picked,17
post,17
attempting,17
Keeper,17
frowning,17
Listen,17
blank,17
Inferi,17
seven,17
garden,17
taught,17
flying,17
Nobody,17
thoughts,17
mine,17
Apparate,17
touch,17
sometimes,17
lane,17
Weasleys,17
L,17
dinner,17
catch,17
possibly,17
grinning,17
okay,17
Myrtle,17
wonder,17
unable,17
Sprout,17
Parvati,17
dunno,17
cup,17
flames,16
wind,16
cast,16
nervously,16
giant,16
ear,16
sounding,16
coldly,16
send,16
quick,16
knife,16
usually,16
