,0
Hiccuping,1
Higgs,1
High,4
Higher,1
Him,2
His,82
Hissy,1
History,5
Hit,1
Hmm,2
Hmmm,2
Hmpf,2
Hmph,1
Hog,7
Hogsmeade,27
Hogwarts,136
Hokey,19
Hold,1
Holding,2
Hollow,2
Holyhead,3
Honeydukes,3
Hooch,3
Hope,2
Hoping,2
Horace,23
Horcrux,44
Horcruxes,38
Horcruxl,1
Horntail,1
Hospital,4
Hot,3
House,20
Houses,7
Hover,1
How,85
However,25
Hufflepuff,16
Hufflepuffs,7
Hulking,1
Humming,1
Humphrey,1
Hundred,1
Hungarian,1
Hurry,1
I,2663
IMMEDIATELY,1
IN,2
ISSUED,1
IT,1
IVe,1
IVo,1
Ice,1
Idiotic,1
If,88
Ignoring,1
Igor,1
Ill,1
Imagine,1
Immediately,1
Impedi,1
Impedimenta,2
Impedimental,1
Imperius,12
Imperiused,2
Impertinent,1
Imperturbable,1
In,44
Incarc,1
Incarcerousl,1
Incendio,1
Incendiol,1
Incidentally,1
Including,1
Incomprehensible,1
Incredibly,1
Indeed,4
Induce,1
Inferi,17
Inferius,10
Infuriated,1
Ingenious,2
Injuries,3
Inking,1
Inner,2
Inquisitorial,1
Insanity,1
Inside,5
Instant,2
Instead,6
Instinctive,1
Instinctively,1
Interested,1
Into,1
Intruder,1
Intruders,1
Invisibility,37
Is,30
Islands,1
Isn,4
It,418
Its,1
J,730
Jack,1
James,10
January,1
Jelly,1
Jimmy,3
Jinx,1
Jinxes,2
Joke,1
Jokes,1
Jones,5
Jordan,1
Judging,3
July,2
June,2
Junior,2
Jus,6
Just,33
K,729
KILL,1
KNOW,1
KREACHER,1
Karkaroff,2
Katie,55
Kedavra,2
KedavraV,1
Keep,3
Keeper,17
Keepers,2
Keeping,3
Kill,2
Killed,2
Killing,5
Kindly,6
King,5
Kingsley,2
Kiss,1
Knave,1
Knew,3
Knight,2
Knockturn,5
Know,17
Knut,2
Kreacher,59
Krum,6
Kwidditch,1
L,17
